longditude;laditude;correlation
1.25;-88.75;-0.1059369274025687
3.75;-88.75;-0.10025683563950812
6.25;-88.75;-0.07103416004106872
8.75;-88.75;-0.09126220362870371
11.25;-88.75;-0.08739302034204154
13.75;-88.75;-0.08303626910843652
16.25;-88.75;-0.13376375157799095
18.75;-88.75;-0.09358908256816642
21.25;-88.75;-0.10383007233203086
23.75;-88.75;-0.11697314115365583
26.25;-88.75;-0.16974160899532745
28.75;-88.75;-0.12259213350730283
31.25;-88.75;-0.11328387332854341
33.75;-88.75;-0.15817127761315203
36.25;-88.75;-0.13912297714830732
38.75;-88.75;-0.11656772523337282
41.25;-88.75;-0.12321074247250326
43.75;-88.75;-0.09384370949793318
46.25;-88.75;-0.16796368435004913
48.75;-88.75;-0.12340697137319995
51.25;-88.75;-0.14529060596399593
53.75;-88.75;-0.1620510692692432
56.25;-88.75;-0.13008365894111665
58.75;-88.75;-0.19157888168540432
61.25;-88.75;-0.15889376293656718
63.75;-88.75;-0.13627489847616125
66.25;-88.75;-0.149921321164407
68.75;-88.75;-0.17188317910978487
71.25;-88.75;-0.16535565244689013
73.75;-88.75;-0.09335293284327237
76.25;-88.75;-0.15200005259368676
78.75;-88.75;-0.13197869328438025
81.25;-88.75;-0.15628856742313088
83.75;-88.75;-0.1243935758563574
86.25;-88.75;-0.10799040728160925
88.75;-88.75;-0.11583392104761958
91.25;-88.75;-0.168103109425251
93.75;-88.75;-0.11840374786701158
96.25;-88.75;-0.0901415815065543
98.75;-88.75;-0.14925491626715784
101.25;-88.75;-0.18511121231068065
103.75;-88.75;-0.16070070160531985
106.25;-88.75;-0.16492331512084168
108.75;-88.75;-0.1527649244260018
111.25;-88.75;-0.15593550562094113
113.75;-88.75;-0.16705059157005614
116.25;-88.75;-0.132492086415698
118.75;-88.75;-0.14064159094292944
121.25;-88.75;-0.1455997754911732
123.75;-88.75;-0.11437094620624684
126.25;-88.75;-0.12200509566491816
128.75;-88.75;-0.13801609063118553
131.25;-88.75;-0.15946256972317427
133.75;-88.75;-0.1456365575942246
136.25;-88.75;-0.10773559301163571
138.75;-88.75;-0.10778373721024809
141.25;-88.75;-0.1378387834993566
143.75;-88.75;-0.17235051446606545
146.25;-88.75;-0.2055107213050967
148.75;-88.75;-0.16820049070652052
151.25;-88.75;-0.18849468593381935
153.75;-88.75;-0.16378786345303975
156.25;-88.75;-0.16999238682339537
158.75;-88.75;-0.18094840502128204
161.25;-88.75;-0.11650136495200661
163.75;-88.75;-0.14551447096290349
166.25;-88.75;-0.16576299582943735
168.75;-88.75;-0.16962688112319985
