longditude;laditude;correlation
1.25;-88.75;-0.07990545866908148
3.75;-88.75;-0.07552934162842759
6.25;-88.75;-0.04331457840291349
8.75;-88.75;-0.07054498681766565
11.25;-88.75;-0.04299164540471389
13.75;-88.75;-0.05777547533143076
16.25;-88.75;-0.10789174844377179
18.75;-88.75;-0.05472331343281029
21.25;-88.75;-0.07183678879334077
23.75;-88.75;-0.08200467860898951
26.25;-88.75;-0.1147352506392661
28.75;-88.75;-0.08621259567078698
31.25;-88.75;-0.07208259970424237
33.75;-88.75;-0.10042236557883842
36.25;-88.75;-0.07910968085122022
38.75;-88.75;-0.07685094776666969
41.25;-88.75;-0.06724593090485739
43.75;-88.75;-0.045078532591785916
46.25;-88.75;-0.13367996186753
48.75;-88.75;-0.0740949201425755
51.25;-88.75;-0.11461152906365005
53.75;-88.75;-0.11795183809818566
56.25;-88.75;-0.0930745606064166
58.75;-88.75;-0.16042501612001703
61.25;-88.75;-0.13225129082896123
63.75;-88.75;-0.11266297047958224
66.25;-88.75;-0.12135555479760196
68.75;-88.75;-0.12886448301291534
71.25;-88.75;-0.12910391872240895
73.75;-88.75;-0.048938057760402276
76.25;-88.75;-0.1206928688482115
78.75;-88.75;-0.09439202415447083
81.25;-88.75;-0.12311159296830139
83.75;-88.75;-0.0944329299496228
86.25;-88.75;-0.07392089296845579
88.75;-88.75;-0.08154263744318326
91.25;-88.75;-0.12742176060304378
93.75;-88.75;-0.0927774045176645
96.25;-88.75;-0.06468256705847727
98.75;-88.75;-0.11769015516375707
101.25;-88.75;-0.14480281424784638
103.75;-88.75;-0.13004413607667012
106.25;-88.75;-0.12518114952272746
108.75;-88.75;-0.12099104796758145
111.25;-88.75;-0.12208304767258772
113.75;-88.75;-0.14566327480077304
116.25;-88.75;-0.11142087055639245
118.75;-88.75;-0.12297709280141368
121.25;-88.75;-0.12178666449156555
123.75;-88.75;-0.07765443376480334
126.25;-88.75;-0.09531096278613901
128.75;-88.75;-0.11219229606339841
131.25;-88.75;-0.13837039137122026
133.75;-88.75;-0.12189984100689821
136.25;-88.75;-0.08556098137052713
138.75;-88.75;-0.08952834889538527
141.25;-88.75;-0.1149830493383517
143.75;-88.75;-0.15147079901462915
