longditude;laditude;correlation
1.25;-88.75;-0.09388935017516029
3.75;-88.75;-0.12278521401296744
6.25;-88.75;-0.07059974441354713
8.75;-88.75;-0.041365809500326395
11.25;-88.75;-0.05953405792067862
13.75;-88.75;-0.06720646089782858
16.25;-88.75;-0.15679353074793997
18.75;-88.75;-0.0921015607967794
21.25;-88.75;-0.11916828570811888
23.75;-88.75;-0.13921549258642565
26.25;-88.75;-0.18206977660694326
28.75;-88.75;-0.14037090953740017
31.25;-88.75;-0.1364695760833787
33.75;-88.75;-0.17378648726242724
36.25;-88.75;-0.14781631347375354
38.75;-88.75;-0.1309509848987573
41.25;-88.75;-0.12769023589878153
43.75;-88.75;-0.0963393442823487
46.25;-88.75;-0.16047159302480804
48.75;-88.75;-0.09309662692302166
51.25;-88.75;-0.10873241580358096
53.75;-88.75;-0.13990502739568483
56.25;-88.75;-0.07002187501370648
58.75;-88.75;-0.1596832432954146
61.25;-88.75;-0.10836659130412073
63.75;-88.75;-0.1269012188409655
66.25;-88.75;-0.09347365838094918
68.75;-88.75;-0.08887935555104398
71.25;-88.75;-0.13279306380644143
73.75;-88.75;-0.027215777900508314
76.25;-88.75;-0.11336050634013078
78.75;-88.75;-0.09393287967277107
81.25;-88.75;-0.10178381557422794
83.75;-88.75;-0.07972920846764231
86.25;-88.75;-0.06463361157891923
88.75;-88.75;-0.07163452337993759
91.25;-88.75;-0.08123713835513172
93.75;-88.75;-0.03661540270726627
96.25;-88.75;-0.02045210009714741
98.75;-88.75;-0.04709317547210185
101.25;-88.75;-0.12699387254199834
103.75;-88.75;-0.1086355036375835
106.25;-88.75;-0.07721779335934341
108.75;-88.75;-0.03765948855686641
111.25;-88.75;-0.051662666630788896
113.75;-88.75;-0.07804297643296206
116.25;-88.75;0.0020830767377390496
118.75;-88.75;-0.024500213255356017
121.25;-88.75;-0.04947699620030797
123.75;-88.75;-0.014323535234399488
126.25;-88.75;-0.02173747585452686
128.75;-88.75;-0.061096212527710324
131.25;-88.75;-0.06972880785621188
133.75;-88.75;-0.04705539926764932
136.25;-88.75;-0.004999862665889604
138.75;-88.75;-0.04974875148256541
141.25;-88.75;-0.0636765162408245
143.75;-88.75;-0.09808519227339287
146.25;-88.75;-0.15060196680597795
148.75;-88.75;-0.07398036479691883
151.25;-88.75;-0.10094318030544898
153.75;-88.75;-0.05546054917777965
156.25;-88.75;-0.1036350595880937
158.75;-88.75;-0.14720153363216693
161.25;-88.75;-0.10093543071053133
163.75;-88.75;-0.1293070569367633
166.25;-88.75;-0.09730020306453323
168.75;-88.75;-0.11552367324980096
171.25;-88.75;-0.08024956607574374
173.75;-88.75;-0.06649614795391362
176.25;-88.75;-0.05566371816465481
178.75;-88.75;-0.19484032122884354
181.25;-88.75;-0.17862548946367687
183.75;-88.75;-0.1375375639145493
186.25;-88.75;-0.09111269213267283
188.75;-88.75;-0.07924483591797142
191.25;-88.75;0.0015018732776690275
193.75;-88.75;-0.10268486347397777
196.25;-88.75;-0.11848759492061894
198.75;-88.75;-0.08640079311108621
201.25;-88.75;-0.1066231361053699
203.75;-88.75;-0.057594033098671026
206.25;-88.75;-0.09309692088711868
208.75;-88.75;-0.11052130106115002
211.25;-88.75;-0.10252225852077045
213.75;-88.75;-0.1366003097506938
216.25;-88.75;-0.1147737975139412
218.75;-88.75;-0.08181761629363256
221.25;-88.75;-0.12909321778732957
223.75;-88.75;-0.11108176217162116
226.25;-88.75;-0.06330229090716163
228.75;-88.75;-0.030289415885588273
231.25;-88.75;-0.13679151065371606
233.75;-88.75;-0.12387697840725787
236.25;-88.75;-0.07654917869353978
238.75;-88.75;-0.012921121256470998
241.25;-88.75;0.00962214428550826
243.75;-88.75;0.02204337493066772
246.25;-88.75;-0.023873001058410098
248.75;-88.75;-0.04657464037108562
251.25;-88.75;-0.0434439527212402
253.75;-88.75;-0.034555431580661905
256.25;-88.75;-0.03149562879862913
258.75;-88.75;-0.00859235024786954
261.25;-88.75;0.03211555286134048
263.75;-88.75;-0.060711714440683635
266.25;-88.75;0.010946878511962436
268.75;-88.75;-0.07690603200374838
271.25;-88.75;-0.08222263781249911
273.75;-88.75;-0.02274229917286297
276.25;-88.75;-0.02722462947333358
278.75;-88.75;-0.053410716965141145
281.25;-88.75;-0.0074173027290463135
283.75;-88.75;-0.04746884738307171
286.25;-88.75;-0.0397900029135223
288.75;-88.75;-0.0761433479523274
291.25;-88.75;-0.11552762115914718
293.75;-88.75;-0.09415044409474134
296.25;-88.75;-0.09114480618687357
298.75;-88.75;-0.09516112955824596
301.25;-88.75;-0.08762146942338778
303.75;-88.75;-0.11074287170551546
306.25;-88.75;-0.05418803552671359
308.75;-88.75;-0.1414072007469476
311.25;-88.75;-0.013668767185357108
313.75;-88.75;-0.00941920040384099
316.25;-88.75;-0.09205181945856779
318.75;-88.75;-0.0818573201507124
321.25;-88.75;-0.0367871910804583
323.75;-88.75;-0.08651584728632777
326.25;-88.75;-0.0863715305027957
328.75;-88.75;-0.04915469784325326
331.25;-88.75;-0.010049244380508826
333.75;-88.75;-0.07313076259618725
336.25;-88.75;-0.10722428236498166
338.75;-88.75;-0.1188054554394018
341.25;-88.75;-0.12364086252766031
343.75;-88.75;-0.09343722920711767
346.25;-88.75;-0.12124304255516269
348.75;-88.75;-0.1260741553445072
351.25;-88.75;-0.14388670418584726
353.75;-88.75;-0.07109811706612008
356.25;-88.75;-0.10403469490326503
358.75;-88.75;-0.1018446190040921
1.25;-86.25;-0.04188017374688053
3.75;-86.25;-0.010098415887946998
6.25;-86.25;-0.01573059463915269
8.75;-86.25;-0.06731189707527235
11.25;-86.25;-0.049127380045996726
13.75;-86.25;-0.07391717469321903
16.25;-86.25;-0.08200942024464006
18.75;-86.25;-0.03862027518119608
21.25;-86.25;-0.07046669785563342
23.75;-86.25;-0.09931689862078782
26.25;-86.25;-0.1070048163069367
28.75;-86.25;-0.09179201852019334
31.25;-86.25;-0.08386715438872168
33.75;-86.25;-0.07806309920789818
36.25;-86.25;-0.13138481601549648
38.75;-86.25;-0.10701344395351232
41.25;-86.25;-0.08630100292945428
43.75;-86.25;-0.07470830085016249
46.25;-86.25;-0.1499075076220959
48.75;-86.25;-0.12381475138049948
51.25;-86.25;-0.08627218138706753
53.75;-86.25;-0.08763478424286293
56.25;-86.25;-0.06621447061248528
58.75;-86.25;-0.10185183713250608
61.25;-86.25;-0.1256363112970419
63.75;-86.25;-0.08835727755097594
66.25;-86.25;-0.057583561474923925
68.75;-86.25;-0.10843548393819744
71.25;-86.25;-0.05449785374021616
73.75;-86.25;-0.08807492529513565
76.25;-86.25;-0.031458107173991924
78.75;-86.25;-0.036882541438295224
81.25;-86.25;-0.01921991043911386
83.75;-86.25;-0.032376475360601516
86.25;-86.25;-0.05506479557743311
88.75;-86.25;-0.04329290329697725
91.25;-86.25;-0.012189184990255798
93.75;-86.25;-0.03207507579175543
96.25;-86.25;-0.03672921212054855
98.75;-86.25;-0.036096816820942026
101.25;-86.25;-0.036962015840462076
103.75;-86.25;-0.03812063404435318
106.25;-86.25;0.00493074020945956
108.75;-86.25;0.018455767786106688
111.25;-86.25;0.01652536067153767
113.75;-86.25;-0.0014412753498573483
116.25;-86.25;0.05269662659428623
118.75;-86.25;0.010066199241530079
121.25;-86.25;-0.02472247881814237
123.75;-86.25;0.018707461413919275
126.25;-86.25;0.006689913581432963
128.75;-86.25;-0.014984924458349308
131.25;-86.25;0.033069560997997544
133.75;-86.25;-0.009201232125908376
136.25;-86.25;-0.008091185760205814
138.75;-86.25;-0.020156430174996978
141.25;-86.25;-0.017486147683506925
143.75;-86.25;-0.008473092097304723
146.25;-86.25;-0.06230455311936229
148.75;-86.25;-0.04017004964320265
