longditude;laditude;correlation
1.25;-88.75;-0.06866921433705275
3.75;-88.75;-0.04023056625602611
6.25;-88.75;-0.022804583302673886
8.75;-88.75;-0.05290289218489474
11.25;-88.75;-0.055901117798337584
13.75;-88.75;-0.08824327308439343
16.25;-88.75;-0.1306114715367162
18.75;-88.75;-0.08918897382364001
21.25;-88.75;-0.08636147861014465
23.75;-88.75;-0.07362208921240788
26.25;-88.75;-0.11344604504927448
28.75;-88.75;-0.07122155090614828
31.25;-88.75;-0.09918501576650361
33.75;-88.75;-0.10539510318874762
36.25;-88.75;-0.09786801701646713
38.75;-88.75;-0.09063486875886494
41.25;-88.75;-0.06648136938377301
43.75;-88.75;-0.06122300123048427
46.25;-88.75;-0.11513295422690667
48.75;-88.75;-0.09488574930599093
51.25;-88.75;-0.09241338256865791
53.75;-88.75;-0.0664632676532313
56.25;-88.75;-0.10321087191286221
58.75;-88.75;-0.15028321702440964
61.25;-88.75;-0.12136112942908349
63.75;-88.75;-0.12188531426283127
66.25;-88.75;-0.12356278188492215
68.75;-88.75;-0.10781836140381774
71.25;-88.75;-0.1343821374865863
73.75;-88.75;-0.048673905936512295
76.25;-88.75;-0.13420735053358596
78.75;-88.75;-0.09693933936143323
81.25;-88.75;-0.10910533035396332
83.75;-88.75;-0.08862914422083437
86.25;-88.75;-0.08511606501506896
88.75;-88.75;-0.0902500989054157
91.25;-88.75;-0.12275881816431926
93.75;-88.75;-0.08078394315863205
96.25;-88.75;-0.032854732095995036
98.75;-88.75;-0.10018559613288171
101.25;-88.75;-0.11419010346932774
103.75;-88.75;-0.09223054869286278
106.25;-88.75;-0.10258492063200571
108.75;-88.75;-0.09649688649562788
111.25;-88.75;-0.09336086384049198
113.75;-88.75;-0.11542152344748087
116.25;-88.75;-0.07922142026632692
118.75;-88.75;-0.08664964208211992
121.25;-88.75;-0.09489795170999293
123.75;-88.75;-0.03680454433188568
126.25;-88.75;-0.0741924676416116
128.75;-88.75;-0.08657108719599546
131.25;-88.75;-0.11858679090674744
133.75;-88.75;-0.09437481096237348
136.25;-88.75;-0.02287379443600347
138.75;-88.75;-0.05363533535630862
141.25;-88.75;-0.0904414178145196
143.75;-88.75;-0.11602916272792585
146.25;-88.75;-0.13839547087168316
