longditude;laditude;lag
336.25;-86.25;0
338.75;-86.25;0
341.25;-86.25;0
343.75;-86.25;0
346.25;-86.25;0
348.75;-86.25;1
351.25;-86.25;0
353.75;-86.25;0
356.25;-86.25;0
358.75;-86.25;0
1.25;-83.75;0
3.75;-83.75;7
6.25;-83.75;0
8.75;-83.75;0
11.25;-83.75;0
13.75;-83.75;0
16.25;-83.75;0
18.75;-83.75;0
21.25;-83.75;0
23.75;-83.75;0
26.25;-83.75;0
28.75;-83.75;7
31.25;-83.75;7
33.75;-83.75;7
36.25;-83.75;0
38.75;-83.75;0
41.25;-83.75;7
43.75;-83.75;0
46.25;-83.75;0
48.75;-83.75;0
51.25;-83.75;0
53.75;-83.75;0
56.25;-83.75;0
58.75;-83.75;0
61.25;-83.75;0
63.75;-83.75;0
66.25;-83.75;0
68.75;-83.75;0
71.25;-83.75;0
73.75;-83.75;0
76.25;-83.75;12
78.75;-83.75;12
81.25;-83.75;0
83.75;-83.75;0
86.25;-83.75;0
88.75;-83.75;0
91.25;-83.75;0
93.75;-83.75;0
96.25;-83.75;0
98.75;-83.75;0
101.25;-83.75;0
103.75;-83.75;0
106.25;-83.75;0
108.75;-83.75;0
111.25;-83.75;0
113.75;-83.75;0
116.25;-83.75;0
118.75;-83.75;0
121.25;-83.75;0
123.75;-83.75;0
126.25;-83.75;0
128.75;-83.75;0
131.25;-83.75;0
133.75;-83.75;0
136.25;-83.75;0
138.75;-83.75;0
141.25;-83.75;0
143.75;-83.75;0
146.25;-83.75;10
148.75;-83.75;8
151.25;-83.75;0
153.75;-83.75;0
156.25;-83.75;0
158.75;-83.75;0
161.25;-83.75;0
163.75;-83.75;0
166.25;-83.75;0
168.75;-83.75;0
171.25;-83.75;0
173.75;-83.75;0
176.25;-83.75;0
178.75;-83.75;0
181.25;-83.75;11
183.75;-83.75;11
186.25;-83.75;11
188.75;-83.75;11
191.25;-83.75;11
193.75;-83.75;11
196.25;-83.75;11
198.75;-83.75;11
201.25;-83.75;11
203.75;-83.75;11
206.25;-83.75;11
208.75;-83.75;11
211.25;-83.75;10
213.75;-83.75;11
216.25;-83.75;11
218.75;-83.75;11
221.25;-83.75;11
223.75;-83.75;11
226.25;-83.75;11
228.75;-83.75;11
231.25;-83.75;11
233.75;-83.75;11
236.25;-83.75;11
238.75;-83.75;11
241.25;-83.75;11
243.75;-83.75;10
246.25;-83.75;11
248.75;-83.75;0
251.25;-83.75;0
253.75;-83.75;0
256.25;-83.75;0
258.75;-83.75;0
261.25;-83.75;0
263.75;-83.75;0
266.25;-83.75;0
268.75;-83.75;0
271.25;-83.75;0
273.75;-83.75;0
276.25;-83.75;0
278.75;-83.75;0
281.25;-83.75;0
283.75;-83.75;0
286.25;-83.75;0
288.75;-83.75;0
291.25;-83.75;0
293.75;-83.75;0
296.25;-83.75;0
298.75;-83.75;0
301.25;-83.75;0
303.75;-83.75;0
306.25;-83.75;0
308.75;-83.75;0
311.25;-83.75;0
313.75;-83.75;0
316.25;-83.75;0
318.75;-83.75;0
321.25;-83.75;0
323.75;-83.75;0
326.25;-83.75;0
328.75;-83.75;0
331.25;-83.75;6
333.75;-83.75;0
336.25;-83.75;6
338.75;-83.75;6
341.25;-83.75;6
343.75;-83.75;6
346.25;-83.75;6
348.75;-83.75;7
351.25;-83.75;6
353.75;-83.75;0
356.25;-83.75;7
358.75;-83.75;7
1.25;-81.25;0
3.75;-81.25;0
6.25;-81.25;0
8.75;-81.25;0
11.25;-81.25;0
13.75;-81.25;0
16.25;-81.25;0
18.75;-81.25;0
21.25;-81.25;0
23.75;-81.25;0
26.25;-81.25;0
28.75;-81.25;7
31.25;-81.25;0
33.75;-81.25;0
36.25;-81.25;7
38.75;-81.25;7
41.25;-81.25;0
43.75;-81.25;0
46.25;-81.25;0
48.75;-81.25;0
51.25;-81.25;7
53.75;-81.25;0
56.25;-81.25;0
58.75;-81.25;0
61.25;-81.25;12
63.75;-81.25;12
66.25;-81.25;12
68.75;-81.25;12
71.25;-81.25;12
73.75;-81.25;0
76.25;-81.25;0
78.75;-81.25;0
81.25;-81.25;12
83.75;-81.25;0
86.25;-81.25;0
88.75;-81.25;0
91.25;-81.25;0
93.75;-81.25;0
96.25;-81.25;0
98.75;-81.25;0
101.25;-81.25;0
103.75;-81.25;0
106.25;-81.25;0
108.75;-81.25;0
111.25;-81.25;0
113.75;-81.25;0
116.25;-81.25;0
118.75;-81.25;8
121.25;-81.25;7
123.75;-81.25;8
126.25;-81.25;8
128.75;-81.25;8
131.25;-81.25;0
133.75;-81.25;0
136.25;-81.25;0
138.75;-81.25;0
141.25;-81.25;0
143.75;-81.25;0
146.25;-81.25;0
148.75;-81.25;0
151.25;-81.25;0
153.75;-81.25;0
156.25;-81.25;0
158.75;-81.25;0
161.25;-81.25;0
163.75;-81.25;0
166.25;-81.25;0
168.75;-81.25;0
171.25;-81.25;0
173.75;-81.25;0
176.25;-81.25;0
178.75;-81.25;1
181.25;-81.25;0
183.75;-81.25;0
186.25;-81.25;0
188.75;-81.25;0
191.25;-81.25;11
193.75;-81.25;11
196.25;-81.25;10
198.75;-81.25;10
201.25;-81.25;10
203.75;-81.25;10
206.25;-81.25;10
208.75;-81.25;10
211.25;-81.25;11
213.75;-81.25;11
216.25;-81.25;1
218.75;-81.25;1
221.25;-81.25;1
223.75;-81.25;1
226.25;-81.25;11
228.75;-81.25;11
231.25;-81.25;11
233.75;-81.25;11
236.25;-81.25;11
238.75;-81.25;10
241.25;-81.25;11
243.75;-81.25;10
246.25;-81.25;10
248.75;-81.25;0
251.25;-81.25;0
253.75;-81.25;0
256.25;-81.25;0
258.75;-81.25;0
261.25;-81.25;0
263.75;-81.25;0
266.25;-81.25;0
268.75;-81.25;0
271.25;-81.25;0
273.75;-81.25;0
276.25;-81.25;0
278.75;-81.25;0
281.25;-81.25;0
283.75;-81.25;0
286.25;-81.25;0
288.75;-81.25;0
291.25;-81.25;0
293.75;-81.25;0
296.25;-81.25;0
298.75;-81.25;0
301.25;-81.25;0
303.75;-81.25;0
306.25;-81.25;0
308.75;-81.25;0
311.25;-81.25;0
313.75;-81.25;0
316.25;-81.25;0
318.75;-81.25;0
321.25;-81.25;0
323.75;-81.25;0
326.25;-81.25;0
328.75;-81.25;0
331.25;-81.25;0
333.75;-81.25;0
336.25;-81.25;0
338.75;-81.25;0
341.25;-81.25;0
343.75;-81.25;0
346.25;-81.25;0
348.75;-81.25;0
351.25;-81.25;0
353.75;-81.25;0
356.25;-81.25;0
358.75;-81.25;0
1.25;-78.75;0
3.75;-78.75;0
6.25;-78.75;0
8.75;-78.75;0
11.25;-78.75;0
13.75;-78.75;0
16.25;-78.75;0
18.75;-78.75;0
21.25;-78.75;0
23.75;-78.75;0
26.25;-78.75;0
28.75;-78.75;0
31.25;-78.75;0
33.75;-78.75;0
36.25;-78.75;0
38.75;-78.75;8
41.25;-78.75;0
43.75;-78.75;0
46.25;-78.75;0
48.75;-78.75;0
51.25;-78.75;0
53.75;-78.75;0
56.25;-78.75;0
58.75;-78.75;0
61.25;-78.75;12
63.75;-78.75;12
66.25;-78.75;12
68.75;-78.75;12
71.25;-78.75;0
73.75;-78.75;0
76.25;-78.75;0
78.75;-78.75;0
81.25;-78.75;0
83.75;-78.75;0
86.25;-78.75;0
88.75;-78.75;0
91.25;-78.75;0
93.75;-78.75;0
96.25;-78.75;0
98.75;-78.75;0
101.25;-78.75;0
103.75;-78.75;0
106.25;-78.75;0
108.75;-78.75;0
111.25;-78.75;0
113.75;-78.75;0
116.25;-78.75;0
118.75;-78.75;0
121.25;-78.75;7
123.75;-78.75;0
126.25;-78.75;0
128.75;-78.75;0
131.25;-78.75;0
133.75;-78.75;0
136.25;-78.75;0
138.75;-78.75;0
141.25;-78.75;0
143.75;-78.75;0
146.25;-78.75;0
148.75;-78.75;0
151.25;-78.75;0
153.75;-78.75;0
156.25;-78.75;0
