longditude;laditude;correlation
1.25;-88.75;0.0008133746290233956
3.75;-88.75;-0.029474738860223802
6.25;-88.75;-0.0140134214701004
8.75;-88.75;0.09991640376742218
11.25;-88.75;-0.011783075743740845
13.75;-88.75;0.019009252424187648
16.25;-88.75;-0.0046392209117511
18.75;-88.75;-0.01886157041154401
21.25;-88.75;0.04164731936989601
23.75;-88.75;0.014138761614945428
26.25;-88.75;0.03159146833954366
28.75;-88.75;-0.04418851330427132
31.25;-88.75;-0.03442904017270933
33.75;-88.75;-0.03969856090641267
36.25;-88.75;0.011627024765185326
38.75;-88.75;0.027622374195858626
41.25;-88.75;0.004481038393450355
43.75;-88.75;0.05549204243353776
46.25;-88.75;0.1161035903267043
48.75;-88.75;-0.010904278589092806
51.25;-88.75;-0.0020496005048814634
53.75;-88.75;0.05864888160026241
56.25;-88.75;-0.015769652101612255
58.75;-88.75;-0.058574135290384285
61.25;-88.75;0.0006282586458508432
63.75;-88.75;0.07964001182467373
66.25;-88.75;0.015482125136133775
68.75;-88.75;0.07506322852785144
71.25;-88.75;0.039677203634281615
73.75;-88.75;-0.003908647927439051
76.25;-88.75;0.10559032988095635
78.75;-88.75;-0.0013742230837863758
81.25;-88.75;0.09647446527082784
83.75;-88.75;0.058324503222718635
86.25;-88.75;-0.004372947813768698
88.75;-88.75;0.011318296470960878
91.25;-88.75;0.1322966517085317
93.75;-88.75;0.07506591610202025
96.25;-88.75;0.11520579123152462
98.75;-88.75;0.06424759490767042
101.25;-88.75;0.09916222725960541
103.75;-88.75;0.07951384872679368
106.25;-88.75;-0.016726108108793287
108.75;-88.75;0.010088400089615833
111.25;-88.75;0.023673986717469588
113.75;-88.75;0.01418616895447807
116.25;-88.75;0.03644538938690137
118.75;-88.75;0.058905108735749355
121.25;-88.75;0.09276959552605143
123.75;-88.75;0.07938388414317353
126.25;-88.75;0.032292867300247885
128.75;-88.75;0.06200008468914659
131.25;-88.75;0.013553470105038963
133.75;-88.75;0.11035885479413235
136.25;-88.75;0.005861204688087968
138.75;-88.75;-0.013937229138079238
141.25;-88.75;0.02305307189911441
143.75;-88.75;-0.005621176013854479
146.25;-88.75;-0.0664651730398128
148.75;-88.75;0.02552702082329455
151.25;-88.75;0.026554968515044894
153.75;-88.75;-0.012779100115419167
156.25;-88.75;-0.057686858703527806
158.75;-88.75;-0.0534531729863765
161.25;-88.75;-0.11687647609904325
163.75;-88.75;-0.05817807234469031
166.25;-88.75;-0.0037598409711737508
168.75;-88.75;0.030049558337185773
171.25;-88.75;0.06546475623001705
173.75;-88.75;0.06374474683784555
176.25;-88.75;0.03508183949487911
178.75;-88.75;0.015402272208218977
181.25;-88.75;0.025311639003905168
183.75;-88.75;0.06657444917933676
186.25;-88.75;-0.009454583356338751
188.75;-88.75;0.08706253951342197
191.25;-88.75;-0.014864775284677608
193.75;-88.75;0.02646131016041521
196.25;-88.75;0.12214709056461143
198.75;-88.75;0.08899835217588066
201.25;-88.75;0.035621728354658044
203.75;-88.75;0.06880365687368153
206.25;-88.75;0.03210600498655237
208.75;-88.75;0.09736448687571893
211.25;-88.75;0.02921428174209626
213.75;-88.75;0.06760617964131162
216.25;-88.75;0.019654942324024677
218.75;-88.75;0.05491590511717018
221.25;-88.75;0.0354773469454841
223.75;-88.75;-0.006800903665500123
226.25;-88.75;0.037891212052250094
228.75;-88.75;0.04335674452648615
231.25;-88.75;0.09697995642618616
233.75;-88.75;0.08063318983774977
236.25;-88.75;0.04730724438905413
238.75;-88.75;0.014538200796851967
241.25;-88.75;0.03763135045846234
243.75;-88.75;0.04696126195782477
246.25;-88.75;-0.009923689742036008
248.75;-88.75;0.0710077953046771
251.25;-88.75;0.004152178170921947
253.75;-88.75;0.03758763905423887
256.25;-88.75;0.04363241377953143
258.75;-88.75;0.026278337572520828
261.25;-88.75;-0.02409461550830356
263.75;-88.75;0.00561454223246646
266.25;-88.75;0.0194507990721614
268.75;-88.75;0.02142519046063868
271.25;-88.75;-0.030961372006876247
273.75;-88.75;0.0007075564988729639
276.25;-88.75;-0.05810615308064095
278.75;-88.75;-0.08928831409646505
281.25;-88.75;-0.0682510923248517
283.75;-88.75;-0.043499323893442784
286.25;-88.75;0.05631748654689115
288.75;-88.75;-0.012372096863132556
291.25;-88.75;-0.037258776318095765
293.75;-88.75;0.03351174274242104
296.25;-88.75;0.012790480069162854
298.75;-88.75;-0.04837351153208061
301.25;-88.75;-0.0329316892176116
303.75;-88.75;-0.08889395177212205
306.25;-88.75;-0.017021570397668506
308.75;-88.75;-0.04639697702121444
311.25;-88.75;-0.10259287779029677
313.75;-88.75;-0.00021198855107860896
316.25;-88.75;-0.1085663792897231
318.75;-88.75;-0.10432542605630393
321.25;-88.75;0.000872050079777146
323.75;-88.75;-0.03079146615842782
326.25;-88.75;-0.004788877877363659
328.75;-88.75;-0.06268862612392426
331.25;-88.75;-0.0916123023220181
333.75;-88.75;-0.056665322113185965
336.25;-88.75;-0.05060891908164933
338.75;-88.75;-0.024315720825729144
341.25;-88.75;0.045842834950067975
343.75;-88.75;-0.07889999030843237
346.25;-88.75;-0.07694819015590089
348.75;-88.75;0.009687492504079558
351.25;-88.75;-0.0038331946291468564
353.75;-88.75;0.09102717552272672
356.25;-88.75;-0.08282536121929576
358.75;-88.75;-0.03492967283912582
1.25;-86.25;0.008672705550571926
3.75;-86.25;-0.026335553600051607
6.25;-86.25;-0.023397025330877754
8.75;-86.25;0.015913920185831192
11.25;-86.25;-0.0007551326281364338
13.75;-86.25;0.0037055983024163897
