longditude;laditude;correlation
1.25;-88.75;-0.2404920284666524
3.75;-88.75;-0.23888636716154324
6.25;-88.75;-0.23837541576025217
8.75;-88.75;-0.2327669592533063
11.25;-88.75;-0.23868677668861968
13.75;-88.75;-0.234834191881462
16.25;-88.75;-0.23533472659116064
18.75;-88.75;-0.22999088331879614
21.25;-88.75;-0.23268324688430164
23.75;-88.75;-0.2258191074163643
26.25;-88.75;-0.22562729464082262
28.75;-88.75;-0.22854832920065596
31.25;-88.75;-0.22494747027809797
33.75;-88.75;-0.22713064412010786
36.25;-88.75;-0.22593909317305924
38.75;-88.75;-0.22373977717378188
41.25;-88.75;-0.21642891637866055
43.75;-88.75;-0.21808603762144552
46.25;-88.75;-0.21914806869165054
48.75;-88.75;-0.21918113835156672
51.25;-88.75;-0.2173393169935415
53.75;-88.75;-0.21405254382276556
56.25;-88.75;-0.21493715483280987
58.75;-88.75;-0.2173673350196303
61.25;-88.75;-0.21783203271102364
63.75;-88.75;-0.2194524125985985
66.25;-88.75;-0.22586916604905877
68.75;-88.75;-0.2248653861202266
71.25;-88.75;-0.2250620547852442
73.75;-88.75;-0.23139144094095962
76.25;-88.75;-0.22972105091685308
78.75;-88.75;-0.22955529501090327
81.25;-88.75;-0.23263830805691735
83.75;-88.75;-0.23108481144733362
86.25;-88.75;-0.2285504313470019
88.75;-88.75;-0.23260907293660796
91.25;-88.75;-0.22696534095715842
93.75;-88.75;-0.22691876329753016
96.25;-88.75;-0.22558233206941258
98.75;-88.75;-0.22870385168091545
101.25;-88.75;-0.2298851669580048
103.75;-88.75;-0.2282676632053989
106.25;-88.75;-0.2303542394097649
108.75;-88.75;-0.2216210196766145
111.25;-88.75;-0.21561285253349416
113.75;-88.75;-0.2201241754079861
116.25;-88.75;-0.21426627136155293
118.75;-88.75;-0.20843960551097573
121.25;-88.75;-0.20958213538826834
123.75;-88.75;-0.20231714412744564
126.25;-88.75;-0.20183224213469111
128.75;-88.75;-0.2039587665352337
131.25;-88.75;-0.20305652872816918
133.75;-88.75;-0.20498694725204453
136.25;-88.75;-0.20235315715692187
138.75;-88.75;-0.20394981951592367
141.25;-88.75;-0.19687256917414608
143.75;-88.75;-0.20366544159203784
146.25;-88.75;-0.20901390289855357
148.75;-88.75;-0.19864005875876892
151.25;-88.75;-0.20075305196261134
153.75;-88.75;-0.2005537657351858
156.25;-88.75;-0.2091557294805315
158.75;-88.75;-0.21186696916130487
161.25;-88.75;-0.2103836360020812
163.75;-88.75;-0.201307038545687
166.25;-88.75;-0.18793615330835584
168.75;-88.75;-0.18946149192374143
171.25;-88.75;-0.18279689262714768
173.75;-88.75;-0.18509212406513356
176.25;-88.75;-0.16610190202520214
178.75;-88.75;-0.1754426497248654
181.25;-88.75;-0.1571576081018517
183.75;-88.75;-0.17248042181513734
186.25;-88.75;-0.17867762478302177
188.75;-88.75;-0.17961445773084753
191.25;-88.75;-0.17353565229807574
193.75;-88.75;-0.18454325886831496
196.25;-88.75;-0.174336027962733
198.75;-88.75;-0.1769156952906222
201.25;-88.75;-0.17848673417527258
203.75;-88.75;-0.1776828450534828
206.25;-88.75;-0.17550529188238
208.75;-88.75;-0.17941256378464518
211.25;-88.75;-0.1980925237066457
213.75;-88.75;-0.2029713003924677
216.25;-88.75;-0.22856947845247233
218.75;-88.75;-0.22886881017880795
221.25;-88.75;-0.2216567424264945
223.75;-88.75;-0.2103751753838205
226.25;-88.75;-0.20995681408638397
228.75;-88.75;-0.19175692857458287
231.25;-88.75;-0.17447983107249346
233.75;-88.75;-0.18158483221391084
236.25;-88.75;-0.18230429137625276
238.75;-88.75;-0.18300605635503014
241.25;-88.75;-0.19975613228555025
243.75;-88.75;-0.20205851900151023
246.25;-88.75;-0.20067052254668238
248.75;-88.75;-0.19312162516188666
251.25;-88.75;-0.2102319910713658
253.75;-88.75;-0.21340800472199867
256.25;-88.75;-0.2208552463803351
258.75;-88.75;-0.22398639657271657
261.25;-88.75;-0.22398568886506032
263.75;-88.75;-0.220066690527133
266.25;-88.75;-0.22088824446077784
268.75;-88.75;-0.2203931675560183
271.25;-88.75;-0.22807801128490354
273.75;-88.75;-0.22682434436754303
276.25;-88.75;-0.22356532447020208
278.75;-88.75;-0.2289945844605022
281.25;-88.75;-0.22319626390226743
283.75;-88.75;-0.22105318275860059
286.25;-88.75;-0.2265556297624248
288.75;-88.75;-0.22770426596419396
291.25;-88.75;-0.23680387870501562
293.75;-88.75;-0.22967955673358093
296.25;-88.75;-0.22890075559329767
298.75;-88.75;-0.2251989732303413
301.25;-88.75;-0.21862168095215442
303.75;-88.75;-0.21719760324372842
306.25;-88.75;-0.2206993485689963
308.75;-88.75;-0.2211148417149139
311.25;-88.75;-0.2258868122447289
313.75;-88.75;-0.22333366362071164
316.25;-88.75;-0.23106624702175851
318.75;-88.75;-0.23063434098193655
321.25;-88.75;-0.2249672979680459
323.75;-88.75;-0.2230927778493635
326.25;-88.75;-0.21998947589058887
328.75;-88.75;-0.2236751318514493
331.25;-88.75;-0.22593663566405708
333.75;-88.75;-0.22749837361626318
336.25;-88.75;-0.23238373531763107
338.75;-88.75;-0.23410655682675163
341.25;-88.75;-0.23337222247141112
343.75;-88.75;-0.2383262598585538
346.25;-88.75;-0.23153671906263265
348.75;-88.75;-0.23724377994558574
351.25;-88.75;-0.24111877785001798
353.75;-88.75;-0.23812165136055471
356.25;-88.75;-0.23636725307529052
358.75;-88.75;-0.24069817443623504
1.25;-86.25;-0.25595184684416794
3.75;-86.25;-0.2556354299438669
6.25;-86.25;-0.25284913257070374
8.75;-86.25;-0.25212778671337277
11.25;-86.25;-0.25341460076853456
13.75;-86.25;-0.2520986173685031
16.25;-86.25;-0.24479789061606727
18.75;-86.25;-0.24845413879883077
21.25;-86.25;-0.24578085728161378
23.75;-86.25;-0.24036324055809236
26.25;-86.25;-0.2358604414737208
28.75;-86.25;-0.23008750808308043
31.25;-86.25;-0.226899468422595
33.75;-86.25;-0.22547009446370694
36.25;-86.25;-0.21661204863248956
38.75;-86.25;-0.20769122844773713
41.25;-86.25;-0.20008487692402113
43.75;-86.25;-0.19858903785340895
46.25;-86.25;-0.20117035611955533
48.75;-86.25;-0.20191676530284466
51.25;-86.25;-0.1932423328122001
53.75;-86.25;-0.1974543891122388
56.25;-86.25;-0.1948658425333887
58.75;-86.25;-0.19660925741775628
61.25;-86.25;-0.20041658074822863
63.75;-86.25;-0.19782935167588087
66.25;-86.25;-0.2062893180364971
68.75;-86.25;-0.20611684696570884
71.25;-86.25;-0.21440279593610234
73.75;-86.25;-0.2170359514944415
76.25;-86.25;-0.2077648334917791
78.75;-86.25;-0.211725737490856
81.25;-86.25;-0.21272237092467194
83.75;-86.25;-0.20990549308710904
86.25;-86.25;-0.21039013009023394
88.75;-86.25;-0.1976374445752832
91.25;-86.25;-0.19561254637835582
93.75;-86.25;-0.19260397010352104
96.25;-86.25;-0.18925255400444085
98.75;-86.25;-0.18841591629733617
101.25;-86.25;-0.18102417838363533
103.75;-86.25;-0.1785263288995302
106.25;-86.25;-0.18106397786309747
108.75;-86.25;-0.18393272097485386
111.25;-86.25;-0.18262173900581194
113.75;-86.25;-0.18379000068724272
116.25;-86.25;-0.1782517520299743
118.75;-86.25;-0.1791562963202105
121.25;-86.25;-0.1806639515233157
123.75;-86.25;-0.17913874883364753
126.25;-86.25;-0.17913238556568223
128.75;-86.25;-0.18256173497600534
131.25;-86.25;-0.18589749635300024
133.75;-86.25;-0.18926689148785847
136.25;-86.25;-0.18977135199265205
138.75;-86.25;-0.19423297985405893
141.25;-86.25;-0.20128415626875798
143.75;-86.25;-0.21149308317970433
146.25;-86.25;-0.22132041926464438
148.75;-86.25;-0.2299534813878359
151.25;-86.25;-0.23085776379934755
153.75;-86.25;-0.23737801020488855
156.25;-86.25;-0.24652576905482235
158.75;-86.25;-0.25274864284570003
161.25;-86.25;-0.24877142001146266
163.75;-86.25;-0.25225718192481905
166.25;-86.25;-0.24627462163720043
168.75;-86.25;-0.24800772132626445
171.25;-86.25;-0.24206015168862996
173.75;-86.25;-0.2500873982329208
176.25;-86.25;-0.2387084471474455
178.75;-86.25;-0.24661924863543455
181.25;-86.25;-0.24484166638982552
183.75;-86.25;-0.24026598546581038
186.25;-86.25;-0.23665264479208792
188.75;-86.25;-0.2375241562901343
191.25;-86.25;-0.23610906080071634
193.75;-86.25;-0.23588200223014286
196.25;-86.25;-0.23172367684556794
198.75;-86.25;-0.22564692115367674
201.25;-86.25;-0.22505440250635905
203.75;-86.25;-0.22398080955290067
206.25;-86.25;-0.2250517788851526
208.75;-86.25;-0.21694217586306444
211.25;-86.25;-0.2097993354439648
213.75;-86.25;-0.2036355408189216
216.25;-86.25;-0.19108142703395767
218.75;-86.25;-0.18391151593535104
221.25;-86.25;-0.1870956442137211
223.75;-86.25;-0.1851786625340984
226.25;-86.25;-0.18344521970838756
228.75;-86.25;-0.1887440280775673
231.25;-86.25;-0.19067301259147154
233.75;-86.25;-0.1922778386916718
236.25;-86.25;-0.18929866595668882
238.75;-86.25;-0.1843353335940072
241.25;-86.25;-0.1798707231521276
243.75;-86.25;-0.1675285827919205
246.25;-86.25;-0.16303029444290884
248.75;-86.25;-0.1565019674795643
251.25;-86.25;-0.16033789125189357
253.75;-86.25;-0.1613929041373132
256.25;-86.25;-0.16612611550098982
258.75;-86.25;-0.17173726230919134
261.25;-86.25;-0.18264343423014992
263.75;-86.25;-0.19184909555923768
266.25;-86.25;-0.19500636929374318
268.75;-86.25;-0.19740909001486315
271.25;-86.25;-0.2010993610353315
273.75;-86.25;-0.2069852160279059
276.25;-86.25;-0.2031205851353861
278.75;-86.25;-0.2001309616579876
281.25;-86.25;-0.19888348114888507
283.75;-86.25;-0.19469751629817472
286.25;-86.25;-0.19477932388266225
288.75;-86.25;-0.19433110479350016
291.25;-86.25;-0.19046862088809255
293.75;-86.25;-0.1924823727942521
296.25;-86.25;-0.192446444690457
298.75;-86.25;-0.19080112963487245
301.25;-86.25;-0.1903051436754065
303.75;-86.25;-0.1886826697084254
