longditude;laditude;correlation
1.25;-88.75;-0.09396808996481197
3.75;-88.75;-0.13159687747076157
6.25;-88.75;-0.11266780923328587
8.75;-88.75;-0.048570346237401196
11.25;-88.75;-0.11346717225628418
13.75;-88.75;-0.08068948432837637
16.25;-88.75;-0.03421567581820137
18.75;-88.75;-0.09210867325512524
21.25;-88.75;-0.03425085260051253
23.75;-88.75;-0.045924357937684915
26.25;-88.75;-0.064916707214074
28.75;-88.75;-0.07304316711681288
31.25;-88.75;-0.07417761678174109
33.75;-88.75;-0.08991701810518805
36.25;-88.75;-0.07656153913097555
38.75;-88.75;-0.03188924023612694
41.25;-88.75;-0.0698225962892879
43.75;-88.75;-0.04421211111922717
46.25;-88.75;-0.045091687543476706
48.75;-88.75;-0.08734073042664448
51.25;-88.75;-0.06072542467611521
53.75;-88.75;-0.051022838090375645
56.25;-88.75;-0.078686460267386
58.75;-88.75;-0.10065588313635877
61.25;-88.75;-0.12545808608613768
63.75;-88.75;-0.10509663725970168
66.25;-88.75;-0.13193144072551619
68.75;-88.75;-0.04932331419590461
71.25;-88.75;-0.11231266156796958
73.75;-88.75;-0.09865946017116241
76.25;-88.75;-0.050405642418532785
78.75;-88.75;-0.12121130638322787
81.25;-88.75;-0.1326526424970081
83.75;-88.75;-0.13260806069887765
86.25;-88.75;-0.1477809924404985
88.75;-88.75;-0.16848522047629783
91.25;-88.75;-0.09209777125076912
93.75;-88.75;-0.11851124940967694
96.25;-88.75;-0.07259513332817401
98.75;-88.75;-0.06485650881055467
101.25;-88.75;-0.12287740629141543
103.75;-88.75;-0.054240031747578736
106.25;-88.75;-0.2158865131818298
108.75;-88.75;-0.17061304935711602
111.25;-88.75;-0.16108812496656436
113.75;-88.75;-0.10362935331591971
116.25;-88.75;-0.14604617526348462
118.75;-88.75;-0.12248162579956973
121.25;-88.75;-0.10581013460848271
123.75;-88.75;-0.1078002767997582
126.25;-88.75;-0.15603905690733214
128.75;-88.75;-0.10858938744837507
131.25;-88.75;-0.1456945304415589
133.75;-88.75;-0.10127603147294476
136.25;-88.75;-0.17781173241208906
138.75;-88.75;-0.1767669101090403
141.25;-88.75;-0.16161450815578932
143.75;-88.75;-0.18008820116408217
146.25;-88.75;-0.23822970613545053
148.75;-88.75;-0.18494694510407927
151.25;-88.75;-0.19209571560484906
153.75;-88.75;-0.16099940993894116
156.25;-88.75;-0.23798832423629643
158.75;-88.75;-0.20354122628774213
161.25;-88.75;-0.21273061139685703
163.75;-88.75;-0.15939196128505184
166.25;-88.75;-0.14102600466231177
168.75;-88.75;-0.11744368654753762
171.25;-88.75;-0.11173083955530812
173.75;-88.75;-0.14691431433444754
176.25;-88.75;-0.1901312911988258
178.75;-88.75;-0.24040187148235187
181.25;-88.75;-0.23727791688787736
183.75;-88.75;-0.1641626216921367
186.25;-88.75;-0.23115286277751873
188.75;-88.75;-0.1415786688265908
191.25;-88.75;-0.20956939935485833
193.75;-88.75;-0.12754307838033038
196.25;-88.75;-0.09458011130145245
198.75;-88.75;-0.1091368211723769
201.25;-88.75;-0.11842634277961471
203.75;-88.75;-0.09080478472497372
206.25;-88.75;-0.13790407156548692
208.75;-88.75;-0.10123749201978506
211.25;-88.75;-0.16477377076513172
213.75;-88.75;-0.12822734998204155
216.25;-88.75;-0.12471424138418956
218.75;-88.75;-0.12640332343136357
221.25;-88.75;-0.15878707187101157
223.75;-88.75;-0.1389389749084303
226.25;-88.75;-0.15221548153013645
228.75;-88.75;-0.1567096647199918
231.25;-88.75;-0.12997172126363088
233.75;-88.75;-0.15172928637577168
236.25;-88.75;-0.15513138877126678
238.75;-88.75;-0.16416500408198284
241.25;-88.75;-0.1979215570661368
243.75;-88.75;-0.1568818793186151
246.25;-88.75;-0.20654456726437948
248.75;-88.75;-0.1594303527990231
251.25;-88.75;-0.17646153476532442
253.75;-88.75;-0.15050353913226924
256.25;-88.75;-0.16867967950108526
258.75;-88.75;-0.233054420620853
261.25;-88.75;-0.1820056984437004
263.75;-88.75;-0.18449412393900133
266.25;-88.75;-0.14886316186325435
268.75;-88.75;-0.14182231223618497
271.25;-88.75;-0.144917476602494
273.75;-88.75;-0.1896794123902541
276.25;-88.75;-0.11694896252653764
278.75;-88.75;-0.1786201415169497
281.25;-88.75;-0.1800351073277128
283.75;-88.75;-0.15066513963656442
286.25;-88.75;-0.08600742815788914
288.75;-88.75;-0.10364229133661536
291.25;-88.75;-0.1613422875691455
293.75;-88.75;-0.09878594667997032
296.25;-88.75;-0.11196109057523441
298.75;-88.75;-0.11074556878297448
301.25;-88.75;-0.12688654594222076
303.75;-88.75;-0.12705855467431715
306.25;-88.75;-0.11264926767021008
308.75;-88.75;-0.09049508306539658
311.25;-88.75;-0.1711197676183106
313.75;-88.75;-0.07493171489183877
316.25;-88.75;-0.16630165980964468
318.75;-88.75;-0.16061799865422552
321.25;-88.75;-0.15108112628091677
323.75;-88.75;-0.10858833672405517
326.25;-88.75;-0.08965640360969206
328.75;-88.75;-0.10245771116998273
331.25;-88.75;-0.1633472083959965
333.75;-88.75;-0.09427726921743182
336.25;-88.75;-0.15117905892452804
338.75;-88.75;-0.12594000323001464
341.25;-88.75;-0.08703469553617497
343.75;-88.75;-0.1759708054791426
346.25;-88.75;-0.1200904359685738
348.75;-88.75;-0.13522406364318215
351.25;-88.75;-0.08824889108756288
353.75;-88.75;-0.07285845238861124
356.25;-88.75;-0.16374904495431347
358.75;-88.75;-0.10856197962075514
1.25;-86.25;-0.11824901498759977
3.75;-86.25;-0.14725803989900674
6.25;-86.25;-0.14324726430581666
8.75;-86.25;-0.08852367712919815
11.25;-86.25;-0.12098922333388924
13.75;-86.25;-0.11810770557335408
16.25;-86.25;-0.12487864061464263
18.75;-86.25;-0.12575647584130178
21.25;-86.25;-0.12783045536167326
23.75;-86.25;-0.12095524445390719
26.25;-86.25;-0.11751925988367334
28.75;-86.25;-0.12653857528661872
