longditude;laditude;correlation
1.25;-88.75;-0.09279587280968836
3.75;-88.75;-0.12147960608387037
6.25;-88.75;-0.0706702701135872
8.75;-88.75;-0.04158866033035072
11.25;-88.75;-0.06024311571703485
13.75;-88.75;-0.06771486317208052
16.25;-88.75;-0.15679659874329596
18.75;-88.75;-0.09238352410915393
21.25;-88.75;-0.11997415180539903
23.75;-88.75;-0.1378281760709572
26.25;-88.75;-0.1773105996192708
28.75;-88.75;-0.13932261555550396
31.25;-88.75;-0.13518622544841827
33.75;-88.75;-0.1714260054997927
36.25;-88.75;-0.14623284707279371
38.75;-88.75;-0.13159305552331782
41.25;-88.75;-0.1251847904570843
43.75;-88.75;-0.09603755570229373
46.25;-88.75;-0.15956569251267197
48.75;-88.75;-0.09250493990316802
51.25;-88.75;-0.10785572971562014
53.75;-88.75;-0.13792662203223294
56.25;-88.75;-0.07018450527946775
58.75;-88.75;-0.15719104252074376
61.25;-88.75;-0.10718405416013554
63.75;-88.75;-0.12625894835847012
66.25;-88.75;-0.09427441369375814
68.75;-88.75;-0.08914866296935446
71.25;-88.75;-0.1310359229338706
73.75;-88.75;-0.029096704716472833
76.25;-88.75;-0.11235498258160104
78.75;-88.75;-0.09490845222334424
81.25;-88.75;-0.10121546069304865
83.75;-88.75;-0.08152442533721882
86.25;-88.75;-0.06601670000904733
88.75;-88.75;-0.07302714334829881
91.25;-88.75;-0.08205240333941034
93.75;-88.75;-0.03868052177260301
96.25;-88.75;-0.02329729520531161
98.75;-88.75;-0.04837589065348406
101.25;-88.75;-0.1259407123457418
103.75;-88.75;-0.10816900545008684
106.25;-88.75;-0.07789104984560304
108.75;-88.75;-0.038762285330592165
111.25;-88.75;-0.05240988838369255
113.75;-88.75;-0.07852551799613919
116.25;-88.75;0.00010658669230421448
118.75;-88.75;-0.025955737053858337
121.25;-88.75;-0.05035962386419572
123.75;-88.75;-0.016121530111163115
126.25;-88.75;-0.023467896404954006
128.75;-88.75;-0.06167449167308911
131.25;-88.75;-0.0702024463566897
133.75;-88.75;-0.04794343687407011
136.25;-88.75;-0.006546229895389362
138.75;-88.75;-0.05005878078822695
141.25;-88.75;-0.06365241762428586
143.75;-88.75;-0.09766887564190932
146.25;-88.75;-0.14941904500856307
148.75;-88.75;-0.07367369551246392
151.25;-88.75;-0.09912310928858135
153.75;-88.75;-0.05557835169890822
156.25;-88.75;-0.10119081099926337
158.75;-88.75;-0.14327131253523523
161.25;-88.75;-0.09926069798761847
163.75;-88.75;-0.12654928343525249
166.25;-88.75;-0.09251380581450129
168.75;-88.75;-0.11053283795621767
171.25;-88.75;-0.07676409029576912
173.75;-88.75;-0.06386713053422986
176.25;-88.75;-0.052146628543110904
178.75;-88.75;-0.1846986468529265
181.25;-88.75;-0.1675737523562482
183.75;-88.75;-0.13021378468090775
186.25;-88.75;-0.08737948196101507
188.75;-88.75;-0.0755439494758154
191.25;-88.75;0.001021661883584412
193.75;-88.75;-0.0978822501033906
196.25;-88.75;-0.11213202584060881
198.75;-88.75;-0.08205443660474712
201.25;-88.75;-0.10109807508556257
203.75;-88.75;-0.0550946297491477
206.25;-88.75;-0.08873148616295938
208.75;-88.75;-0.1049554916027256
211.25;-88.75;-0.09943669030635659
213.75;-88.75;-0.1329110562628009
216.25;-88.75;-0.1123326871720901
218.75;-88.75;-0.0808187743211427
221.25;-88.75;-0.1268399369517534
223.75;-88.75;-0.10776935482595165
226.25;-88.75;-0.061989998065603236
228.75;-88.75;-0.029842222380781984
231.25;-88.75;-0.13022516848096835
233.75;-88.75;-0.11801917903287669
236.25;-88.75;-0.07296300525065211
238.75;-88.75;-0.013286702518472655
241.25;-88.75;0.008264787056219743
243.75;-88.75;0.019774074857779628
246.25;-88.75;-0.023736495468016146
248.75;-88.75;-0.045366174677602907
251.25;-88.75;-0.04299624654854452
253.75;-88.75;-0.03462352463191214
256.25;-88.75;-0.03196778681754467
258.75;-88.75;-0.009800570838045815
261.25;-88.75;0.029979282033924658
263.75;-88.75;-0.059993374993992946
266.25;-88.75;0.009097345419133745
268.75;-88.75;-0.07565548085231263
271.25;-88.75;-0.08170408146917033
273.75;-88.75;-0.023648032120142073
276.25;-88.75;-0.028772802125298067
278.75;-88.75;-0.053768437958975374
281.25;-88.75;-0.009158682650305913
283.75;-88.75;-0.04791787022576026
286.25;-88.75;-0.040035478874625385
288.75;-88.75;-0.07631108631036923
291.25;-88.75;-0.11692709521799698
293.75;-88.75;-0.09578228796526853
