longditude;laditude;correlation;p_value_adj
1.25;-88.75;-0.042602011777202;0.5660411440670876
3.75;-88.75;-0.056382852872510256;0.42170337519278955
6.25;-88.75;-0.04224456126737593;0.5689641753987168
8.75;-88.75;-0.00793167983468802;0.9284588278392493
11.25;-88.75;-0.04078958742325588;0.5842609581896245
13.75;-88.75;-0.03869266262369485;0.6046729178027889
16.25;-88.75;-0.06037168794165945;0.3839578456917934
18.75;-88.75;-0.050045348476566054;0.4878956835131226
21.25;-88.75;-0.035111036349124984;0.6446255970164207
23.75;-88.75;-0.04627203928769225;0.5264306730376932
26.25;-88.75;-0.04923079724459398;0.49669757518511415
28.75;-88.75;-0.05893660020822583;0.39744156569932376
31.25;-88.75;-0.05968261116582884;0.390426314653334
33.75;-88.75;-0.06590004982156512;0.3331248117965954
36.25;-88.75;-0.05126987631575975;0.4760838583156897
38.75;-88.75;-0.042590265175883074;0.5661644042535877
41.25;-88.75;-0.051456082258679404;0.47423676126004416
43.75;-88.75;-0.03299334927753426;0.6683629136909701
46.25;-88.75;-0.028335913681615272;0.7173833252714192
48.75;-88.75;-0.044413500490394664;0.54639138052855
51.25;-88.75;-0.04477484650537236;0.5432901191713109
53.75;-88.75;-0.03301371344961155;0.6683428591062999
56.25;-88.75;-0.036914816856226745;0.6245281490256457
58.75;-88.75;-0.06832366945561208;0.31180897021005854
61.25;-88.75;-0.03904075613840509;0.6017451616416136
63.75;-88.75;-0.02358623506591381;0.7690274173570321
66.25;-88.75;-0.03818430828065327;0.610103311734287
68.75;-88.75;-0.024059568716362553;0.7639669062704865
71.25;-88.75;-0.04222664643338172;0.5691983127985363
73.75;-88.75;-0.02969766572066778;0.7045033857883605
76.25;-88.75;-0.022594435981845674;0.7797203147263428
78.75;-88.75;-0.047563311352681284;0.513447509248634
81.25;-88.75;-0.021289324792850013;0.7958491493656482
83.75;-88.75;-0.026247339739335386;0.7425256318998699
86.25;-88.75;-0.04510849983773306;0.5395710949989513
88.75;-88.75;-0.03874845346066342;0.6042690985761704
91.25;-88.75;-0.007724381348401574;0.9302491688250126
93.75;-88.75;-0.014160817009766746;0.8702267311587771
96.25;-88.75;0.0016718111316760334;0.9832930190120173
98.75;-88.75;-0.02025132454559022;0.806707090348691
101.25;-88.75;-0.029694750193503847;0.7044666915503509
103.75;-88.75;-0.038854081254618165;0.6033948305178237
106.25;-88.75;-0.0452206558012826;0.537946997506952
108.75;-88.75;-0.02473078797377238;0.7567870975446364
111.25;-88.75;-0.02635082487374482;0.7410980823218477
113.75;-88.75;-0.03387017403101899;0.658391884250564
116.25;-88.75;-0.001840328833618478;0.9819611070170187
118.75;-88.75;-0.003662470324630686;0.9633912766408455
121.25;-88.75;-0.0041039670934128365;0.9584780010982241
123.75;-88.75;0.002561069694630151;0.9743276593269155
