longditude;laditude;correlation;p_value_adj
1.25;-88.75;-0.09388935017516029;0.676617443425261
3.75;-88.75;-0.12278521401296744;0.5477322101135761
6.25;-88.75;-0.07059974441354713;0.7704520017781624
8.75;-88.75;-0.041365809500326395;0.8714390612220722
11.25;-88.75;-0.05953405792067862;0.809691919964622
13.75;-88.75;-0.06720646089782858;0.7808071389906134
16.25;-88.75;-0.15679353074793997;0.3915575147979519
18.75;-88.75;-0.0921015607967794;0.6832073293832894
21.25;-88.75;-0.11916828570811888;0.5621136913366672
23.75;-88.75;-0.13921549258642565;0.4754875749126996
26.25;-88.75;-0.18206977660694326;0.2807332711571209
28.75;-88.75;-0.14037090953740017;0.47226258576771313
31.25;-88.75;-0.1364695760833787;0.4873886943727318
33.75;-88.75;-0.17378648726242724;0.31103311363251995
36.25;-88.75;-0.14781631347375354;0.4363062879339213
38.75;-88.75;-0.1309509848987573;0.5111619484046266
41.25;-88.75;-0.12769023589878153;0.523819845356465
43.75;-88.75;-0.0963393442823487;0.665246731646516
46.25;-88.75;-0.16047159302480804;0.3732613125366995
48.75;-88.75;-0.09309662692302166;0.680180652019404
51.25;-88.75;-0.10873241580358096;0.6099294304505329
53.75;-88.75;-0.13990502739568483;0.4732356173375171
56.25;-88.75;-0.07002187501370648;0.7727042377803823
58.75;-88.75;-0.1596832432954146;0.3775581175592185
61.25;-88.75;-0.10836659130412073;0.6112734492871635
63.75;-88.75;-0.1269012188409655;0.5274944059749214
66.25;-88.75;-0.09347365838094918;0.6786169937656331
68.75;-88.75;-0.08887935555104398;0.6945735800781963
71.25;-88.75;-0.13279306380644143;0.5031203468055743
73.75;-88.75;-0.027215777900508314;0.920312950819843
76.25;-88.75;-0.11336050634013078;0.5903314168117074
78.75;-88.75;-0.09393287967277107;0.676844050628778
81.25;-88.75;-0.10178381557422794;0.6392546030739905
83.75;-88.75;-0.07972920846764231;0.7326181927896412
86.25;-88.75;-0.06463361157891923;0.7909286337637921
88.75;-88.75;-0.07163452337993759;0.7669463181099438
