longditude;laditude;correlation;p_value_adj
1.25;-88.75;-0.07990545866908148;0.6839293982132861
3.75;-88.75;-0.07552934162842759;0.7066982301500669
6.25;-88.75;-0.04331457840291349;0.851693087409103
8.75;-88.75;-0.07054498681766565;0.73207353308085
11.25;-88.75;-0.04299164540471389;0.8529706103503865
13.75;-88.75;-0.05777547533143076;0.7934715308410395
16.25;-88.75;-0.10789174844377179;0.5438713015972908
18.75;-88.75;-0.05472331343281029;0.8057602156859467
21.25;-88.75;-0.07183678879334077;0.7268820041113292
23.75;-88.75;-0.08200467860898951;0.6732033729138089
26.25;-88.75;-0.1147352506392661;0.5125073057790553
28.75;-88.75;-0.08621259567078698;0.6513351460542518
31.25;-88.75;-0.07208259970424237;0.7258878588248103
33.75;-88.75;-0.10042236557883842;0.5814110599361723
36.25;-88.75;-0.07910968085122022;0.6880350175056439
38.75;-88.75;-0.07685094776666969;0.7003406353251515
41.25;-88.75;-0.06724593090485739;0.7469584193412742
43.75;-88.75;-0.045078532591785916;0.8450600158884302
46.25;-88.75;-0.13367996186753;0.4206274258059775
48.75;-88.75;-0.0740949201425755;0.7160602169538094
51.25;-88.75;-0.11461152906365005;0.5129841082778187
53.75;-88.75;-0.11795183809818566;0.49671914550900054
56.25;-88.75;-0.0930745606064166;0.614748336472203
58.75;-88.75;-0.16042501612001703;0.30994438689665765
61.25;-88.75;-0.13225129082896123;0.42681818450901665
63.75;-88.75;-0.11266297047958224;0.5218392785474187
66.25;-88.75;-0.12135555479760196;0.4793652480426538
68.75;-88.75;-0.12886448301291534;0.44413428039577235
71.25;-88.75;-0.12910391872240895;0.4426884479505251
73.75;-88.75;-0.048938057760402276;0.8300556611958014
76.25;-88.75;-0.1206928688482115;0.482003918307927
78.75;-88.75;-0.09439202415447083;0.608475556527397
81.25;-88.75;-0.12311159296830139;0.4713299676643034
83.75;-88.75;-0.0944329299496228;0.6085264350749511
86.25;-88.75;-0.07392089296845579;0.716512059153438
88.75;-88.75;-0.08154263744318326;0.6759779518239638
91.25;-88.75;-0.12742176060304378;0.45137150191544834
93.75;-88.75;-0.0927774045176645;0.6161681149076974
96.25;-88.75;-0.06468256705847727;0.7605489436184817
98.75;-88.75;-0.11769015516375707;0.4977772121609042
101.25;-88.75;-0.14480281424784638;0.3731697711720119
103.75;-88.75;-0.13004413607667012;0.43816280605423485
106.25;-88.75;-0.12518114952272746;0.4620950383244406
108.75;-88.75;-0.12099104796758145;0.4806350620902469
111.25;-88.75;-0.12208304767258772;0.47602009088056835
113.75;-88.75;-0.14566327480077304;0.3712035661084169
