longditude;laditude;correlation;p_value_adj
1.25;-88.75;-0.1059369274025687;0.5864241383159914
3.75;-88.75;-0.10025683563950812;0.6128120214619563
6.25;-88.75;-0.07103416004106872;0.7495020009589093
8.75;-88.75;-0.09126220362870371;0.6545790598836898
11.25;-88.75;-0.08739302034204154;0.6744577692566303
13.75;-88.75;-0.08303626910843652;0.6949584727507401
16.25;-88.75;-0.13376375157799095;0.45409733962565824
18.75;-88.75;-0.09358908256816642;0.642948939059488
21.25;-88.75;-0.10383007233203086;0.5947338338932109
23.75;-88.75;-0.11697314115365583;0.5380605214048958
26.25;-88.75;-0.16974160899532745;0.30059513197924015
28.75;-88.75;-0.12259213350730283;0.5086292447770161
31.25;-88.75;-0.11328387332854341;0.55598309618912
33.75;-88.75;-0.15817127761315203;0.3459748137407395
36.25;-88.75;-0.13912297714830732;0.4310197301104715
38.75;-88.75;-0.11656772523337282;0.5401604898005758
41.25;-88.75;-0.12321074247250326;0.5056140240568796
43.75;-88.75;-0.09384370949793318;0.6418822663848484
46.25;-88.75;-0.16796368435004913;0.3070577305282699
48.75;-88.75;-0.12340697137319995;0.5048968448564894
51.25;-88.75;-0.14529060596399593;0.4035300070101189
53.75;-88.75;-0.1620510692692432;0.3308643650396882
56.25;-88.75;-0.13008365894111665;0.47314669299544276
58.75;-88.75;-0.19157888168540432;0.2161593378431043
61.25;-88.75;-0.15889376293656718;0.3431504263116123
63.75;-88.75;-0.13627489847616125;0.4451301898164189
66.25;-88.75;-0.149921321164407;0.3821521434642171
68.75;-88.75;-0.17188317910978487;0.29220034693484787
71.25;-88.75;-0.16535565244689013;0.31719026720536964
73.75;-88.75;-0.09335293284327237;0.6431696604675016
76.25;-88.75;-0.15200005259368676;0.37364800371390516
78.75;-88.75;-0.13197869328438025;0.464047728430076
81.25;-88.75;-0.15628856742313088;0.3539330285251159
83.75;-88.75;-0.1243935758563574;0.500455742231198
86.25;-88.75;-0.10799040728160925;0.5776571258576165
88.75;-88.75;-0.11583392104761958;0.544000697873584
91.25;-88.75;-0.168103109425251;0.30628118593875375
93.75;-88.75;-0.11840374786701158;0.5319681432028892
96.25;-88.75;-0.0901415815065543;0.6603087334203437
98.75;-88.75;-0.14925491626715784;0.3851352133879673
101.25;-88.75;-0.18511121231068065;0.2417402747841802
103.75;-88.75;-0.16070070160531985;0.3366290267081165
106.25;-88.75;-0.16492331512084168;0.31915113225966935
108.75;-88.75;-0.1527649244260018;0.37062882753310133
111.25;-88.75;-0.15593550562094113;0.35546538988860293
113.75;-88.75;-0.16705059157005614;0.3108153858247178
116.25;-88.75;-0.132492086415698;0.46135304928442106
118.75;-88.75;-0.14064159094292944;0.4245856286426264
121.25;-88.75;-0.1455997754911732;0.40231484161089076
123.75;-88.75;-0.11437094620624684;0.552119727588713
126.25;-88.75;-0.12200509566491816;0.5117594354529627
