longditude;laditude;correlation;p_value_adj
1.25;-88.75;-0.08805091520349237;0.6657449880802793
3.75;-88.75;-0.08552746810650703;0.6747035734251572
6.25;-88.75;-0.05818408970328476;0.8014054276690616
8.75;-88.75;-0.07973452943944795;0.6999737992355014
11.25;-88.75;-0.05505837726375458;0.8136830687556951
13.75;-88.75;-0.07024784363691786;0.7442026308709007
16.25;-88.75;-0.10721044291619695;0.5690282254507816
18.75;-88.75;-0.06314242883190557;0.7762580784229629
21.25;-88.75;-0.09069642968524368;0.6519792263183699
23.75;-88.75;-0.09747630163253734;0.6182647971686567
26.25;-88.75;-0.13562946506362536;0.43642497371868244
28.75;-88.75;-0.10654151384548861;0.5718187084493985
31.25;-88.75;-0.09993430826801648;0.6054233710502447
33.75;-88.75;-0.12632726457916052;0.47883285070189685
36.25;-88.75;-0.10312855191796332;0.5913814960017069
38.75;-88.75;-0.08337045746888593;0.6848663314225197
41.25;-88.75;-0.09844051430437595;0.6128955293884911
43.75;-88.75;-0.07437071766402235;0.7230039899115956
46.25;-88.75;-0.15493341195566154;0.35567695449474873
48.75;-88.75;-0.09722504559738382;0.6193996273492627
51.25;-88.75;-0.13258188157631554;0.4510004952036228
53.75;-88.75;-0.13696044281244682;0.42928456257460124
56.25;-88.75;-0.10880754741320664;0.561740281001148
58.75;-88.75;-0.18192138059028803;0.25065836845643147
61.25;-88.75;-0.15106860220697926;0.3692737084961702
63.75;-88.75;-0.125368404312415;0.4847850707627584
66.25;-88.75;-0.13732108818762254;0.42680096006390605
68.75;-88.75;-0.14835657833769988;0.3810255811735079
71.25;-88.75;-0.14768678245557604;0.3838228815083261
73.75;-88.75;-0.07458345459576894;0.7222659901979371
76.25;-88.75;-0.14484263730203892;0.39496578423341855
78.75;-88.75;-0.11714663829888387;0.5205941214962941
81.25;-88.75;-0.1429664589863866;0.4029040548919668
83.75;-88.75;-0.11130156189140214;0.5494110765556098
86.25;-88.75;-0.09891592053295341;0.6105497025704133
88.75;-88.75;-0.10810279737820128;0.5651159204134136
91.25;-88.75;-0.1452302372018106;0.39318757121950526
93.75;-88.75;-0.10339546517748653;0.5905238422837421
96.25;-88.75;-0.08303878204032063;0.686102297165302
98.75;-88.75;-0.13781234547046484;0.4245908352975539
101.25;-88.75;-0.16085509805828546;0.32838392063627886
103.75;-88.75;-0.14010474572128523;0.41571816331545614
106.25;-88.75;-0.13704710159491948;0.42876045974999766
108.75;-88.75;-0.12665593932266692;0.4783127672649538
111.25;-88.75;-0.1287912068910795;0.4682005307465063
113.75;-88.75;-0.1459976488860139;0.3913161036817145
116.25;-88.75;-0.11833058552247645;0.516633259000169
118.75;-88.75;-0.1237374292540703;0.4911141356062174
121.25;-88.75;-0.12842921777428723;0.47006139399777586
123.75;-88.75;-0.08652329861474065;0.6704351085607684
126.25;-88.75;-0.10304153044645022;0.5919068945611853
128.75;-88.75;-0.12045087908612408;0.5057154748311732
131.25;-88.75;-0.14591181834184405;0.3915268145909922
133.75;-88.75;-0.1276697481647043;0.4729506500258551
136.25;-88.75;-0.084292999435437;0.679217011509399
138.75;-88.75;-0.09185408749997756;0.645480279176093
141.25;-88.75;-0.12260687012950874;0.4951747559404621
143.75;-88.75;-0.15430719077698252;0.35733236195792245
146.25;-88.75;-0.17878083070799686;0.26177954492688865
148.75;-88.75;-0.1414392288038194;0.4109757271403159
151.25;-88.75;-0.17630102626094044;0.27059351058950093
153.75;-88.75;-0.14279286853623788;0.4037698959665852
156.25;-88.75;-0.14379885212026094;0.3999691438986992
158.75;-88.75;-0.15956368431459111;0.33402006419051034
161.25;-88.75;-0.09666390568473615;0.6220442337966862
163.75;-88.75;-0.12770290310156449;0.4728978093500957
166.25;-88.75;-0.14493134160199195;0.39472416857050885
168.75;-88.75;-0.15347458433735564;0.3615261581876197
171.25;-88.75;-0.1759579722799186;0.2713919320027839
173.75;-88.75;-0.18907302287557579;0.2242412448564132
176.25;-88.75;-0.12996607359105186;0.4631397735030808
178.75;-88.75;-0.23771876555745272;0.08528458997267638
181.25;-88.75;-0.22601561738244935;0.11152305591451706
183.75;-88.75;-0.15421405555618467;0.3579655050460417
186.25;-88.75;-0.12091353467782195;0.5028629855839439
188.75;-88.75;-0.13139829067040773;0.45652191005141385
191.25;-88.75;-0.05903794512866111;0.7970865525949897
193.75;-88.75;-0.1337053563183971;0.44570928059564885
196.25;-88.75;-0.15072970420321;0.3706532109066813
198.75;-88.75;-0.13018293438571082;0.4624136704866169
201.25;-88.75;-0.13761856938547198;0.42515985021469405
203.75;-88.75;-0.10452972077659277;0.5835682934487618
206.25;-88.75;-0.10756001486557504;0.5682605357602304
208.75;-88.75;-0.11181043858356135;0.5465610349186706
211.25;-88.75;-0.1019021382733198;0.5974211219116641
213.75;-88.75;-0.12452309710210342;0.48769430010015546
216.25;-88.75;-0.09649231968167772;0.6224645824924171
218.75;-88.75;-0.09734231703654575;0.6186643554007869
221.25;-88.75;-0.13935489950810132;0.41860405121534505
223.75;-88.75;-0.12764481250797444;0.47292498718718806
226.25;-88.75;-0.11041679923033507;0.5550809653685908
228.75;-88.75;-0.0852593750820605;0.6756069558538279
231.25;-88.75;-0.15238375282205893;0.36482294874404253
233.75;-88.75;-0.12388829787843925;0.4904360840256226
236.25;-88.75;-0.19188082898116032;0.21475551051458106
238.75;-88.75;-0.16856407107150437;0.2992174894242876
241.25;-88.75;-0.14008787824690574;0.41547237455973196
243.75;-88.75;-0.13445934275112148;0.44256958128297935
246.25;-88.75;-0.21764343201160158;0.13252819727232615
