longditude;laditude;oni_coefficient_minus_zero_lag
28.75;-86.25;-0.07000000000000000666
31.25;-86.25;-0.02999999999999999889
33.75;-86.25;-0.05999999999999999778
36.25;-86.25;-0.08999999999999999667
38.75;-86.25;-0.08000000000000000167
41.25;-86.25;-0.05999999999999999778
43.75;-86.25;-0.07000000000000000666
46.25;-86.25;-0.05999999999999999778
48.75;-86.25;-0.07000000000000000666
51.25;-86.25;-0.1000000000000000056
53.75;-86.25;-0.08999999999999999667
56.25;-86.25;-0.1000000000000000056
58.75;-86.25;-0.1000000000000000056
61.25;-86.25;-0.1100000000000000006
63.75;-86.25;-0.1199999999999999956
66.25;-86.25;-0.08000000000000000167
68.75;-86.25;-0.08000000000000000167
71.25;-86.25;-0.08999999999999999667
73.75;-86.25;-0.07000000000000000666
76.25;-86.25;-0.07000000000000000666
78.75;-86.25;-0.07000000000000000666
81.25;-86.25;-0.07000000000000000666
83.75;-86.25;-0.07000000000000000666
86.25;-86.25;-0.04000000000000000083
88.75;-86.25;-0.04000000000000000083
91.25;-86.25;-0.05000000000000000278
93.75;-86.25;-0.05999999999999999778
96.25;-86.25;-0.07000000000000000666
98.75;-86.25;-0.05999999999999999778
101.25;-86.25;-0.05000000000000000278
103.75;-86.25;-0.02000000000000000042
106.25;-86.25;-0.04000000000000000083
108.75;-86.25;-0.05999999999999999778
111.25;-86.25;-0.05999999999999999778
113.75;-86.25;-0.05999999999999999778
116.25;-86.25;-0.02999999999999999889
118.75;-86.25;-0.02999999999999999889
121.25;-86.25;-0.05999999999999999778
123.75;-86.25;-0.05000000000000000278
126.25;-86.25;-0.05000000000000000278
128.75;-86.25;-0.05999999999999999778
131.25;-86.25;-0.05999999999999999778
133.75;-86.25;-0.07000000000000000666
136.25;-86.25;-0.05000000000000000278
138.75;-86.25;-0.04000000000000000083
141.25;-86.25;-0.07000000000000000666
143.75;-86.25;-0.07000000000000000666
146.25;-86.25;-0.05000000000000000278
148.75;-86.25;-0.04000000000000000083
151.25;-86.25;-0.02999999999999999889
153.75;-86.25;-0.04000000000000000083
156.25;-86.25;-0.08000000000000000167
158.75;-86.25;-0.07000000000000000666
161.25;-86.25;-0.08000000000000000167
163.75;-86.25;-0.07000000000000000666
166.25;-86.25;-0.05999999999999999778
168.75;-86.25;-0.08999999999999999667
171.25;-86.25;-0.05999999999999999778
173.75;-86.25;-0.05999999999999999778
176.25;-86.25;-0.05999999999999999778
178.75;-86.25;-0.04000000000000000083
181.25;-86.25;-0.05000000000000000278
183.75;-86.25;-0.02999999999999999889
186.25;-86.25;-0.05999999999999999778
188.75;-86.25;-0.05999999999999999778
191.25;-86.25;-0.04000000000000000083
193.75;-86.25;-0.05000000000000000278
196.25;-86.25;-0.05000000000000000278
198.75;-86.25;-0.04000000000000000083
201.25;-86.25;-0.04000000000000000083
203.75;-86.25;-0.05999999999999999778
206.25;-86.25;-0.05000000000000000278
208.75;-86.25;-0.05999999999999999778
211.25;-86.25;-0.07000000000000000666
213.75;-86.25;-0.05999999999999999778
216.25;-86.25;-0.08000000000000000167
218.75;-86.25;-0.05999999999999999778
221.25;-86.25;-0.07000000000000000666
223.75;-86.25;-0.05000000000000000278
226.25;-86.25;-0.05000000000000000278
228.75;-86.25;-0.05999999999999999778
231.25;-86.25;-0.05000000000000000278
233.75;-86.25;-0.02000000000000000042
236.25;-86.25;-0.02000000000000000042
238.75;-86.25;-0.04000000000000000083
241.25;-86.25;-0.02000000000000000042
243.75;-86.25;-0.02000000000000000042
246.25;-86.25;-0.02000000000000000042
248.75;-86.25;-0.02999999999999999889
251.25;-86.25;-0.05000000000000000278
253.75;-86.25;-0.05000000000000000278
256.25;-86.25;-0.05000000000000000278
258.75;-86.25;-0.05000000000000000278
261.25;-86.25;-0.05999999999999999778
263.75;-86.25;-0.05000000000000000278
266.25;-86.25;-0.08000000000000000167
268.75;-86.25;-0.07000000000000000666
271.25;-86.25;-0.08000000000000000167
273.75;-86.25;-0.08000000000000000167
276.25;-86.25;-0.07000000000000000666
278.75;-86.25;-0.08000000000000000167
281.25;-86.25;-0.07000000000000000666
283.75;-86.25;-0.05000000000000000278
286.25;-86.25;-0.04000000000000000083
288.75;-86.25;-0.07000000000000000666
291.25;-86.25;-0.04000000000000000083
293.75;-86.25;-0.05999999999999999778
296.25;-86.25;-0.07000000000000000666
298.75;-86.25;-0.07000000000000000666
301.25;-86.25;-0.05000000000000000278
303.75;-86.25;-0.05999999999999999778
306.25;-86.25;-0.04000000000000000083
308.75;-86.25;-0.05000000000000000278
311.25;-86.25;-0.05999999999999999778
313.75;-86.25;-0.04000000000000000083
316.25;-86.25;-0.02999999999999999889
318.75;-86.25;-0.05000000000000000278
321.25;-86.25;-0.08000000000000000167
323.75;-86.25;-0.07000000000000000666
326.25;-86.25;-0.08999999999999999667
328.75;-86.25;-0.05999999999999999778
331.25;-86.25;-0.04000000000000000083
333.75;-86.25;-0.05999999999999999778
336.25;-86.25;-0.07000000000000000666
338.75;-86.25;-0.05000000000000000278
341.25;-86.25;-0.05000000000000000278
343.75;-86.25;-0.04000000000000000083
346.25;-86.25;-0.08000000000000000167
348.75;-86.25;0.02000000000000000042
351.25;-86.25;-0.08000000000000000167
353.75;-86.25;-0.07000000000000000666
356.25;-86.25;0.02999999999999999889
358.75;-86.25;-0.02999999999999999889
1.25;-83.75;-0.02999999999999999889
3.75;-83.75;-0.02000000000000000042
6.25;-83.75;-0.08999999999999999667
8.75;-83.75;-0.1199999999999999956
11.25;-83.75;-0.08999999999999999667
13.75;-83.75;-0.07000000000000000666
16.25;-83.75;-0.05999999999999999778
18.75;-83.75;-0.05999999999999999778
21.25;-83.75;-0.04000000000000000083
23.75;-83.75;-0.02999999999999999889
26.25;-83.75;-0.02000000000000000042
28.75;-83.75;-0.04000000000000000083
31.25;-83.75;-0.02000000000000000042
