laditude;longditude;coefficient
-88.75;1.25;0.000000000000000000
-88.75;3.75;0.000000000000000000
-88.75;6.25;0.000000000000000000
-88.75;8.75;0.000000000000000000
-88.75;11.25;0.000000000000000000
-88.75;13.75;0.000000000000000000
-88.75;16.25;0.000000000000000000
-88.75;18.75;0.000000000000000000
-88.75;21.25;0.000000000000000000
-88.75;23.75;0.000000000000000000
-88.75;26.25;0.000000000000000000
-88.75;28.75;0.000000000000000000
-88.75;31.25;0.000000000000000000
-88.75;33.75;0.000000000000000000
-88.75;36.25;0.000000000000000000
-88.75;38.75;0.000000000000000000
-88.75;41.25;0.000000000000000000
-88.75;43.75;0.000000000000000000
-88.75;46.25;0.000000000000000000
-88.75;48.75;0.000000000000000000
-88.75;51.25;0.000000000000000000
-88.75;53.75;0.000000000000000000
-88.75;56.25;0.000000000000000000
-88.75;58.75;0.000000000000000000
-88.75;61.25;0.000000000000000000
-88.75;63.75;0.000000000000000000
-88.75;66.25;0.000000000000000000
-88.75;68.75;0.000000000000000000
-88.75;71.25;0.000000000000000000
-88.75;73.75;0.000000000000000000
-88.75;76.25;0.000000000000000000
-88.75;78.75;0.000000000000000000
-88.75;81.25;0.000000000000000000
-88.75;83.75;0.000000000000000000
-88.75;86.25;0.000000000000000000
-88.75;88.75;0.000000000000000000
-88.75;91.25;0.000000000000000000
-88.75;93.75;0.000000000000000000
-88.75;96.25;0.000000000000000000
-88.75;98.75;0.000000000000000000
-88.75;101.25;0.000000000000000000
-88.75;103.75;0.000000000000000000
-88.75;106.25;0.000000000000000000
-88.75;108.75;0.000000000000000000
-88.75;111.25;0.000000000000000000
-88.75;113.75;0.000000000000000000
-88.75;116.25;0.000000000000000000
-88.75;118.75;0.000000000000000000
-88.75;121.25;0.000000000000000000
-88.75;123.75;0.000000000000000000
-88.75;126.25;0.000000000000000000
-88.75;128.75;0.000000000000000000
-88.75;131.25;0.000000000000000000
-88.75;133.75;-0.03474512363834979245
-88.75;136.25;0.000000000000000000
-88.75;138.75;0.000000000000000000
-88.75;141.25;0.000000000000000000
-88.75;143.75;-0.01355880412313222039
-88.75;146.25;0.000000000000000000
-88.75;148.75;0.000000000000000000
-88.75;151.25;0.000000000000000000
-88.75;153.75;0.000000000000000000
-88.75;156.25;0.000000000000000000
-88.75;158.75;0.000000000000000000
-88.75;161.25;0.000000000000000000
-88.75;163.75;0.000000000000000000
-88.75;166.25;0.000000000000000000
-88.75;168.75;0.000000000000000000
-88.75;171.25;0.000000000000000000
-88.75;173.75;0.000000000000000000
-88.75;176.25;0.000000000000000000
-88.75;178.75;0.000000000000000000
-88.75;181.25;0.000000000000000000
-88.75;183.75;0.000000000000000000
-88.75;186.25;0.000000000000000000
-88.75;188.75;0.000000000000000000
-88.75;191.25;0.000000000000000000
-88.75;193.75;0.000000000000000000
-88.75;196.25;0.000000000000000000
-88.75;198.75;0.000000000000000000
-88.75;201.25;0.000000000000000000
-88.75;203.75;0.000000000000000000
-88.75;206.25;-0.009150871495168555123
-88.75;208.75;0.000000000000000000
-88.75;211.25;0.000000000000000000
-88.75;213.75;0.000000000000000000
-88.75;216.25;-0.002105491376470147724
-88.75;218.75;-0.01170287649522097628
-88.75;221.25;0.000000000000000000
-88.75;223.75;0.000000000000000000
-88.75;226.25;0.000000000000000000
-88.75;228.75;0.000000000000000000
-88.75;231.25;0.000000000000000000
-88.75;233.75;0.000000000000000000
-88.75;236.25;0.005283879355226779422
-88.75;238.75;0.000000000000000000
-88.75;241.25;0.000000000000000000
-88.75;243.75;0.000000000000000000
-88.75;246.25;0.000000000000000000
-88.75;248.75;0.000000000000000000
-88.75;251.25;0.000000000000000000
-88.75;253.75;0.000000000000000000
-88.75;256.25;0.000000000000000000
-88.75;258.75;0.000000000000000000
-88.75;261.25;0.000000000000000000
-88.75;263.75;0.000000000000000000
-88.75;266.25;0.000000000000000000
-88.75;268.75;0.000000000000000000
-88.75;271.25;0.000000000000000000
-88.75;273.75;0.000000000000000000
-88.75;276.25;0.000000000000000000
-88.75;278.75;0.000000000000000000
-88.75;281.25;0.000000000000000000
-88.75;283.75;0.000000000000000000
-88.75;286.25;-0.003137434152618079342
-88.75;288.75;0.000000000000000000
-88.75;291.25;0.000000000000000000
-88.75;293.75;0.000000000000000000
-88.75;296.25;0.000000000000000000
-88.75;298.75;0.000000000000000000
-88.75;301.25;0.000000000000000000
-88.75;303.75;0.000000000000000000
-88.75;306.25;0.000000000000000000
-88.75;308.75;0.000000000000000000
-88.75;311.25;0.000000000000000000
-88.75;313.75;0.000000000000000000
-88.75;316.25;0.000000000000000000
-88.75;318.75;0.000000000000000000
-88.75;321.25;0.000000000000000000
-88.75;323.75;0.000000000000000000
-88.75;326.25;0.000000000000000000
-88.75;328.75;0.000000000000000000
-88.75;331.25;0.000000000000000000
-88.75;333.75;0.000000000000000000
-88.75;336.25;0.000000000000000000
-88.75;338.75;0.000000000000000000
