laditude;longditude;minimum
-88.75;1.25;-0.07000000000000000666
-88.75;3.75;-0.08000000000000000167
-88.75;6.25;-0.05999999999999999778
-88.75;8.75;-0.08000000000000000167
-88.75;11.25;0.08000000000000000167
-88.75;13.75;-0.07000000000000000666
-88.75;16.25;-0.05999999999999999778
-88.75;18.75;-0.08999999999999999667
-88.75;21.25;-0.08000000000000000167
-88.75;23.75;-0.07000000000000000666
-88.75;26.25;-0.07000000000000000666
-88.75;28.75;0.08000000000000000167
-88.75;31.25;-0.07000000000000000666
-88.75;33.75;-0.08000000000000000167
-88.75;36.25;-0.07000000000000000666
-88.75;38.75;-0.05999999999999999778
-88.75;41.25;-0.05999999999999999778
-88.75;43.75;-0.05000000000000000278
-88.75;46.25;-0.08000000000000000167
-88.75;48.75;-0.07000000000000000666
-88.75;51.25;-0.08999999999999999667
-88.75;53.75;-0.08000000000000000167
-88.75;56.25;-0.1000000000000000056
-88.75;58.75;0.07000000000000000666
-88.75;61.25;0.08999999999999999667
-88.75;63.75;0.08000000000000000167
-88.75;66.25;-0.08999999999999999667
-88.75;68.75;-0.1000000000000000056
-88.75;71.25;-0.1000000000000000056
-88.75;73.75;-0.1000000000000000056
-88.75;76.25;-0.08999999999999999667
-88.75;78.75;-0.08999999999999999667
-88.75;81.25;-0.07000000000000000666
-88.75;83.75;-0.07000000000000000666
-88.75;86.25;-0.07000000000000000666
-88.75;88.75;0.07000000000000000666
-88.75;91.25;0.07000000000000000666
-88.75;93.75;-0.07000000000000000666
-88.75;96.25;-0.07000000000000000666
-88.75;98.75;0.05999999999999999778
-88.75;101.25;-0.07000000000000000666
-88.75;103.75;-0.08999999999999999667
-88.75;106.25;-0.07000000000000000666
-88.75;108.75;0.1000000000000000056
-88.75;111.25;-0.08000000000000000167
-88.75;113.75;-0.08999999999999999667
-88.75;116.25;-0.1100000000000000006
-88.75;118.75;-0.08999999999999999667
-88.75;121.25;-0.1100000000000000006
-88.75;123.75;-0.1100000000000000006
-88.75;126.25;-0.08000000000000000167
-88.75;128.75;-0.08999999999999999667
-88.75;131.25;-0.08999999999999999667
-88.75;133.75;-0.1499999999999999944
-88.75;136.25;-0.08999999999999999667
-88.75;138.75;0.08999999999999999667
-88.75;141.25;-0.1000000000000000056
-88.75;143.75;-0.1400000000000000133
-88.75;146.25;0.1300000000000000044
-88.75;148.75;-0.1100000000000000006
-88.75;151.25;-0.1199999999999999956
-88.75;153.75;-0.1100000000000000006
-88.75;156.25;-0.1100000000000000006
-88.75;158.75;-0.08999999999999999667
-88.75;161.25;0.08000000000000000167
-88.75;163.75;-0.08000000000000000167
-88.75;166.25;-0.08999999999999999667
-88.75;168.75;-0.1199999999999999956
-88.75;171.25;-0.08999999999999999667
-88.75;173.75;-0.08999999999999999667
-88.75;176.25;-0.1000000000000000056
-88.75;178.75;-0.05000000000000000278
-88.75;181.25;-0.07000000000000000666
